"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:11147031-11148450","125","11147031","11148450","1419","1336.01441019","1.06211429247"
"SL2.50ch00:11147056-11148474","125","11147056","11148474","1418","1336.01441019","1.06136579754"
"SL2.50ch00:11156005-11156811","33","11156005","11156811","806","1336.01441019","0.60328690608"
"SL2.50ch00:11182413-11182990","60","11182413","11182990","577","1336.01441019","0.431881569241"
"SL2.50ch00:11182455-11182963","58","11182455","11182963","508","1336.01441019","0.380235419713"
"SL2.50ch00:11184554-11185987","132","11184554","11185987","1433","1336.01441019","1.07259322136"
"SL2.50ch00:11184559-11185963","132","11184559","11185963","1404","1336.01441019","1.05088686865"
"SL2.50ch00:11239943-11240920","48","11239943","11240920","977","1336.01441019","0.731279537518"
"SL2.50ch00:11242538-11243692","54","11242538","11243692","1154","1336.01441019","0.863763138481"
"SL2.50ch00:11244917-11246524","75","11244917","11246524","1607","1336.01441019","1.20283133756"
"SL2.50ch00:11251418-11254505","202","11251418","11254505","3087","1336.01441019","2.31060382018"
"SL2.50ch00:11251473-11254521","200","11251473","11254521","3048","1336.01441019","2.28141251828"
"SL2.50ch00:11256077-11257931","65","11256077","11257931","1854","1336.01441019","1.38770958297"
"SL2.50ch00:11293074-11293554","26","11293074","11293554","480","1336.01441019","0.359277561933"
"SL2.50ch00:11295501-11296038","22","11295501","11296038","537","1336.01441019","0.401941772413"
"SL2.50ch00:11297430-11297761","23","11297430","11297761","331","1336.01441019","0.24775181875"
"SL2.50ch00:11301434-11301838","49","11301434","11301838","404","1336.01441019","0.302391947961"
"SL2.50ch00:11301523-11301854","43","11301523","11301854","331","1336.01441019","0.24775181875"
"SL2.50ch00:11308046-11308427","26","11308046","11308427","381","1336.01441019","0.285176564785"
"SL2.50ch00:11310727-11313687","342","11310727","11313687","2960","1336.01441019","2.21554496526"
"SL2.50ch00:11310886-11313674","335","11310886","11313674","2788","1336.01441019","2.0868038389"
"SL2.50ch00:11314410-11315883","181","11314410","11315883","1473","1336.01441019","1.10253301818"
"SL2.50ch00:11314447-11315959","181","11314447","11315959","1512","1336.01441019","1.13172432009"
"SL2.50ch00:11317036-11318741","83","11317036","11318741","1705","1336.01441019","1.27618383978"
"SL2.50ch00:11321826-11325870","162","11321826","11325870","4044","1336.01441019","3.02691345929"
"SL2.50ch00:11326911-11336372","415","11326911","11336372","9461","1336.01441019","7.08151044469"
"SL2.50ch00:11337261-11343309","287","11337261","11343309","6048","1336.01441019","4.52689728036"
"SL2.50ch00:11344369-11345115","54","11344369","11345115","746","1336.01441019","0.558377210838"
"SL2.50ch00:11362846-11363749","62","11362846","11363749","903","1336.01441019","0.675890913387"
"SL2.50ch00:11362909-11363764","62","11362909","11363764","855","1336.01441019","0.639963157194"
"SL2.50ch00:11369358-11374033","264","11369358","11374033","4675","1336.01441019","3.49921375425"
"SL2.50ch00:11377464-11379406","164","11377464","11379406","1942","1336.01441019","1.45357713599"
"SL2.50ch00:11377992-11379414","144","11377992","11379414","1422","1336.01441019","1.06435977723"
"SL2.50ch00:11396268-11398033","179","11396268","11398033","1765","1336.01441019","1.32109353503"
"SL2.50ch00:11396281-11398063","179","11396281","11398063","1782","1336.01441019","1.33381794868"
"SL2.50ch00:11398844-11404525","434","11398844","11404525","5681","1336.01441019","4.25219964446"
"SL2.50ch00:11411131-11412638","179","11411131","11412638","1507","1336.01441019","1.12798184549"
"SL2.50ch00:11411210-11412550","177","11411210","11412550","1340","1336.01441019","1.00298319373"
"SL2.50ch00:11435021-11435402","15","11435021","11435402","381","1336.01441019","0.285176564785"
"SL2.50ch00:11443840-11444538","20","11443840","11444538","698","1336.01441019","0.522449454645"
"SL2.50ch00:11479280-11479661","12","11479280","11479661","381","1336.01441019","0.285176564785"
"SL2.50ch00:11490693-11491596","52","11490693","11491596","903","1336.01441019","0.675890913387"
"SL2.50ch00:11492825-11494397","68","11492825","11494397","1572","1336.01441019","1.17663401533"
"SL2.50ch00:11495640-11497102","67","11495640","11497102","1462","1336.01441019","1.09429957406"
"SL2.50ch00:11499381-11501263","114","11499381","11501263","1882","1336.01441019","1.40866744075"
"SL2.50ch00:11501876-11503245","137","11501876","11503245","1369","1336.01441019","1.02468954643"
"SL2.50ch00:11501908-11503138","137","11501908","11503138","1230","1336.01441019","0.920648752454"
"SL2.50ch00:11504375-11505179","56","11504375","11505179","804","1336.01441019","0.601789916238"
"SL2.50ch00:11504386-11505193","55","11504386","11505193","807","1336.01441019","0.604035401"
"SL2.50ch00:11510384-11512323","131","11510384","11512323","1939","1336.01441019","1.45133165123"
"SL2.50ch00:11516613-11517616","59","11516613","11517616","1003","1336.01441019","0.750740405456"
"SL2.50ch00:11516614-11517613","59","11516614","11517613","999","1336.01441019","0.747746425774"
"SL2.50ch00:11520028-11520796","62","11520028","11520796","768","1336.01441019","0.574844099093"
"SL2.50ch00:11531048-11531810","47","11531048","11531810","762","1336.01441019","0.570353129569"
"SL2.50ch00:11534129-11548181","1510","11534129","11548181","14052","1336.01441019","10.5178506256"
"SL2.50ch00:11565499-11566054","24","11565499","11566054","555","1336.01441019","0.415414680985"
"SL2.50ch00:11576949-11583147","478","11576949","11583147","6198","1336.01441019","4.63917151846"
"SL2.50ch00:11650849-11651285","37","11650849","11651285","436","1336.01441019","0.326343785423"
"SL2.50ch00:11655343-11656870","345","11655343","11656870","1527","1336.01441019","1.1429517439"
"SL2.50ch00:11655363-11656901","345","11655363","11656901","1538","1336.01441019","1.15118518803"
"SL2.50ch00:11658373-11659357","109","11658373","11659357","984","1336.01441019","0.736519001963"
"SL2.50ch00:11658413-11659410","109","11658413","11659410","997","1336.01441019","0.746249435932"
"SL2.50ch00:11685738-11686901","74","11685738","11686901","1163","1336.01441019","0.870499592768"
"SL2.50ch00:11687500-11689613","192","11687500","11689613","2113","1336.01441019","1.58156976743"
"SL2.50ch00:11687565-11689537","192","11687565","11689537","1972","1336.01441019","1.47603198361"
"SL2.50ch00:11690472-11694305","227","11690472","11694305","3833","1336.01441019","2.86898103102"
"SL2.50ch00:11695255-11695660","20","11695255","11695660","405","1336.01441019","0.303140442881"
"SL2.50ch00:11697545-11698487","56","11697545","11698487","942","1336.01441019","0.705082215294"
"SL2.50ch00:11736257-11738084","270","11736257","11738084","1827","1336.01441019","1.36750022011"
"SL2.50ch00:11736295-11738062","270","11736295","11738062","1767","1336.01441019","1.32259052487"
"SL2.50ch00:11773888-11775696","1115","11773888","11775696","1808","1336.01441019","1.35327881662"
"SL2.50ch00:11773931-11775731","1111","11773931","11775731","1800","1336.01441019","1.34729085725"
"SL2.50ch00:11777402-11778481","824","11777402","11778481","1079","1336.01441019","0.807626019429"
"SL2.50ch00:11777453-11778470","810","11777453","11778470","1017","1336.01441019","0.761219334346"
"SL2.50ch00:11780895-11782018","729","11780895","11782018","1123","1336.01441019","0.84055979594"
"SL2.50ch00:11780914-11782081","721","11780914","11782081","1167","1336.01441019","0.87349357245"
"SL2.50ch00:11782576-11786164","2642","11782576","11786164","3588","1336.01441019","2.68559977545"
"SL2.50ch00:11782593-11786224","2642","11782593","11786224","3631","1336.01441019","2.71778505704"
"SL2.50ch00:11789600-11790182","48","11789600","11790182","582","1336.01441019","0.435624043844"
"SL2.50ch00:11789639-11790399","59","11789639","11790399","760","1336.01441019","0.568856139728"
"SL2.50ch00:11796752-11810419","11316","11796752","11810419","13667","1336.01441019","10.2296800811"
"SL2.50ch00:11798253-11810444","11263","11798253","11810444","12191","1336.01441019","9.12490157819"
"SL2.50ch00:11819282-11819771","29","11819282","11819771","489","1336.01441019","0.36601401622"
"SL2.50ch00:11851636-11852113","21","11851636","11852113","477","1336.01441019","0.357032077171"
"SL2.50ch00:11855496-11855877","24","11855496","11855877","381","1336.01441019","0.285176564785"
"SL2.50ch00:11857574-11857905","55","11857574","11857905","331","1336.01441019","0.24775181875"
"SL2.50ch00:11901425-11901973","37","11901425","11901973","548","1336.01441019","0.410175216541"
"SL2.50ch00:11913173-11913606","37","11913173","11913606","433","1336.01441019","0.324098300661"
"SL2.50ch00:11919657-11919988","22","11919657","11919988","331","1336.01441019","0.24775181875"
"SL2.50ch00:11922194-11922525","21","11922194","11922525","331","1336.01441019","0.24775181875"
"SL2.50ch00:11934769-11935958","68","11934769","11935958","1189","1336.01441019","0.889960460706"
"SL2.50ch00:11944473-11945832","80","11944473","11945832","1359","1336.01441019","1.01720459722"
"SL2.50ch00:11966724-11976904","8171","11966724","11976904","10180","1336.01441019","7.61967829267"
"SL2.50ch00:11966763-11976921","8166","11966763","11976921","10158","1336.01441019","7.60321140441"
"SL2.50ch00:11986901-11987970","144","11986901","11987970","1069","1336.01441019","0.800141070222"
"SL2.50ch00:11986947-11988035","144","11986947","11988035","1088","1336.01441019","0.814362473716"
"SL2.50ch00:11990826-11991727","40","11990826","11991727","901","1336.01441019","0.674393923546"
"SL2.50ch00:11993083-11994663","229","11993083","11994663","1580","1336.01441019","1.1826219747"
"SL2.50ch00:11993108-11994595","229","11993108","11994595","1487","1336.01441019","1.11301194707"
"SL2.50ch00:11996161-11996887","108","11996161","11996887","726","1336.01441019","0.543407312424"
"SL2.50ch00:11996165-11996956","109","11996165","11996956","791","1336.01441019","0.592059482269"
"SL2.50ch00:12005346-12016200","10998","12005346","12016200","10854","1336.01441019","8.12416386922"
"SL2.50ch00:12006247-12016261","10960","12006247","12016261","10014","1336.01441019","7.49542813583"
"SL2.50ch00:12039409-12041187","80","12039409","12041187","1778","1336.01441019","1.33082396899"
"SL2.50ch00:12088095-12089625","45","12088095","12089625","1530","1336.01441019","1.14519722866"
"SL2.50ch00:12090869-12091736","37","12090869","12091736","867","1336.01441019","0.648945096242"
"SL2.50ch00:12128069-12129195","130","12128069","12129195","1126","1336.01441019","0.842805280702"
"SL2.50ch00:12128080-12154019","14754","12128080","12154019","25939","1336.01441019","19.4152097479"
"SL2.50ch00:12129811-12133841","554","12129811","12133841","4030","1336.01441019","3.0164345304"
"SL2.50ch00:12135070-12154020","13968","12135070","12154020","18950","1336.01441019","14.1839787472"
"SL2.50ch00:12211658-12219923","829","12211658","12219923","8265","1336.01441019","6.18631051954"
"SL2.50ch00:12212183-12219705","797","12212183","12219705","7522","1336.01441019","5.63017879346"
"SL2.50ch00:12266042-12266373","11","12266042","12266373","331","1336.01441019","0.24775181875"
"SL2.50ch00:12266855-12282012","12724","12266855","12282012","15157","1336.01441019","11.344937513"
"SL2.50ch00:12266900-12282088","12723","12266900","12282088","15188","1336.01441019","11.3681408555"
"SL2.50ch00:12300631-12302445","129","12300631","12302445","1814","1336.01441019","1.35776978614"
"SL2.50ch00:12301258-12302308","80","12301258","12302308","1050","1336.01441019","0.785919666729"
"SL2.50ch00:12312511-12319827","331","12312511","12319827","7316","1336.01441019","5.4759888398"
"SL2.50ch00:12322626-12323776","38","12322626","12323776","1150","1336.01441019","0.860769158799"
"SL2.50ch00:12327818-12328740","27","12327818","12328740","922","1336.01441019","0.69011231688"
"SL2.50ch00:12339756-12340219","36","12339756","12340219","463","1336.01441019","0.346553148282"
"SL2.50ch00:12348859-12349873","66","12348859","12349873","1014","1336.01441019","0.758973849584"
"SL2.50ch00:12348900-12349859","63","12348900","12349859","959","1336.01441019","0.717806628946"
"SL2.50ch00:12492800-12501089","736","12492800","12501089","8289","1336.01441019","6.20427439764"
"SL2.50ch00:12492909-12499238","639","12492909","12499238","6329","1336.01441019","4.73722435307"
"SL2.50ch00:12499680-12501104","80","12499680","12501104","1424","1336.01441019","1.06585676707"
"SL2.50ch00:12504572-12506066","57","12504572","12506066","1494","1336.01441019","1.11825141152"
"SL2.50ch00:12561321-12561702","22","12561321","12561702","381","1336.01441019","0.285176564785"
"SL2.50ch00:12570057-12572446","149","12570057","12572446","2389","1336.01441019","1.78815436554"
"SL2.50ch00:12643039-12645240","107","12643039","12645240","2201","1336.01441019","1.64743732045"
"SL2.50ch00:12646321-12647655","61","12646321","12647655","1334","1336.01441019","0.998492224206"
"SL2.50ch00:12648597-12648928","25","12648597","12648928","331","1336.01441019","0.24775181875"
"SL2.50ch00:12669261-12669592","5","12669261","12669592","331","1336.01441019","0.24775181875"
"SL2.50ch00:12704257-12704588","4","12704257","12704588","331","1336.01441019","0.24775181875"
"SL2.50ch00:12754371-12754752","21","12754371","12754752","381","1336.01441019","0.285176564785"
"SL2.50ch00:12756548-12757566","110","12756548","12757566","1018","1336.01441019","0.761967829267"
"SL2.50ch00:12756562-12757520","110","12756562","12757520","958","1336.01441019","0.717058134025"
"SL2.50ch00:12758317-12760221","301","12758317","12760221","1904","1336.01441019","1.425134329"
"SL2.50ch00:12758322-12760244","301","12758322","12760244","1922","1336.01441019","1.43860723757"
"SL2.50ch00:12772555-12778363","389","12772555","12778363","5808","1336.01441019","4.34725849939"
"SL2.50ch00:12783643-12784259","43","12783643","12784259","616","1336.01441019","0.461072871148"
"SL2.50ch00:12885083-12890446","380","12885083","12890446","5363","1336.01441019","4.01417825968"
"SL2.50ch00:12935953-12936381","32","12935953","12936381","428","1336.01441019","0.320355826057"
"SL2.50ch00:12942422-12943337","96","12942422","12943337","915","1336.01441019","0.684872852435"
"SL2.50ch00:12944934-12947743","211","12944934","12947743","2809","1336.01441019","2.10252223223"
"SL2.50ch00:12953378-12958577","3004","12953378","12958577","5199","1336.01441019","3.89142509269"
"SL2.50ch00:12953577-12958707","2998","12953577","12958707","5130","1336.01441019","3.83977894316"
"SL2.50ch00:13043047-13043844","48","13043047","13043844","797","1336.01441019","0.596550451793"
