"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:11310930-11313689","1452","11310930","11313689","2759","1549.65308533","1.78039848152"
"SL2.50ch00:11314457-11315839","790","11314457","11315839","1382","1549.65308533","0.891812505061"
"SL2.50ch00:11314480-11315945","787","11314480","11315945","1465","1549.65308533","0.945372879822"
"SL2.50ch00:11317021-11318848","457","11317021","11318848","1827","1549.65308533","1.17897355047"
"SL2.50ch00:11317113-11318869","436","11317113","11318869","1756","1549.65308533","1.13315684435"
"SL2.50ch00:11321897-11325977","819","11321897","11325977","4080","1549.65308533","2.63284733766"
"SL2.50ch00:11323617-11325874","469","11323617","11325874","2257","1549.65308533","1.45645501007"
"SL2.50ch00:11327058-11336556","1346","11327058","11336556","9498","1549.65308533","6.1291137287"
"SL2.50ch00:11337168-11343493","850","11337168","11343493","6325","1549.65308533","4.0815586791"
"SL2.50ch00:11341758-11343010","157","11341758","11343010","1252","1549.65308533","0.807922761459"
"SL2.50ch00:11343876-11345462","217","11343876","11345462","1586","1549.65308533","1.02345487194"
"SL2.50ch00:11362944-11363871","247","11362944","11363871","927","1549.65308533","0.598198402454"
"SL2.50ch00:11362979-11363782","247","11362979","11363782","803","1549.65308533","0.518180493172"
"SL2.50ch00:11369292-11373961","656","11369292","11373961","4669","1549.65308533","3.01293240675"
"SL2.50ch00:11369319-11369683","76","11369319","11369683","364","1549.65308533","0.234891282085"
"SL2.50ch00:11372884-11373733","207","11372884","11373733","849","1549.65308533","0.547864556293"
"SL2.50ch00:11377836-11379479","439","11377836","11379479","1643","1549.65308533","1.06023729798"
"SL2.50ch00:11378002-11379404","430","11378002","11379404","1402","1549.65308533","0.904718619461"
"SL2.50ch00:11396294-11398139","687","11396294","11398139","1845","1549.65308533","1.19058905343"
"SL2.50ch00:11396295-11398007","687","11396295","11398007","1712","1549.65308533","1.10476339267"
"SL2.50ch00:11398925-11404518","1624","11398925","11404518","5593","1549.65308533","3.60919489204"
"SL2.50ch00:11399029-11404489","1605","11399029","11404489","5460","1549.65308533","3.52336923128"
"SL2.50ch00:11411123-11412587","632","11411123","11412587","1464","1549.65308533","0.944727574102"
"SL2.50ch00:11411231-11412588","623","11411231","11412588","1357","1549.65308533","0.87567986206"
"SL2.50ch00:11443795-11444573","131","11443795","11444573","778","1549.65308533","0.502047850172"
"SL2.50ch00:11443815-11444552","131","11443815","11444552","737","1549.65308533","0.475590315651"
"SL2.50ch00:11490669-11491521","216","11490669","11491521","852","1549.65308533","0.549800473453"
"SL2.50ch00:11490713-11491534","216","11490713","11491534","821","1549.65308533","0.529795996132"
"SL2.50ch00:11492659-11494444","304","11492659","11494444","1785","1549.65308533","1.15187071023"
"SL2.50ch00:11495655-11497053","372","11495655","11497053","1398","1549.65308533","0.902137396581"
"SL2.50ch00:11495673-11497057","372","11495673","11497057","1384","1549.65308533","0.893103116501"
"SL2.50ch00:11499356-11501348","469","11499356","11501348","1992","1549.65308533","1.28544899427"
"SL2.50ch00:11500559-11501218","220","11500559","11501218","659","1549.65308533","0.42525646949"
